county2,ruc_code2,total_est_pct3
Alaska,,10.4
Aleutians East,9,17.4
Aleutians West,9,8.5
Anchorage,2,8.7
Bethel,7,24.2
Bristol Bay,9,9
Denali,8,6.6
Dillingham,9,20
Fairbanks North Star,3,8.1
Haines,9,10.9
Alaska,9,16.2
Juneau,5,8
Kenai Peninsula,7,11.4
Ketchikan Gateway,7,10.3
Kodiak Island,7,7.5
Kusilvak,9,31.8
Lake and Peninsula,9,19.3
Matanuska-Susitna,2,9.8
Nome,7,21.4
North Slope,7,12.6
Northwest Arctic,7,26.3
Alaska,9,7.9
Alaska,9,15.6
Sitka,7,9.2
Alaska,9,3.7
Southeast Fairbanks,9,13.5
Valdez-Cordova,9,9.5
Alaska,9,12
Yakutat,9,15.4
Yukon-Koyukuk,9,23.4
