county2,ruc_code2,total_est_pct3
California,,15.4
Alameda,1,11.5
Alpine,8,19
Amador,6,13.1
Butte,3,21.4
Calaveras,6,13
Colusa,6,13.2
Contra Costa,1,10.2
Del Norte,7,23.3
El Dorado,1,9.1
Fresno,2,25.2
Glenn,6,18.5
Humboldt,5,20.9
Imperial,3,24.3
Inyo,7,12.4
Kern,2,21.9
Kings,3,22.4
Lake,4,20.5
Lassen,7,17.1
Los Angeles,1,16.7
Madera,3,22.6
Marin,1,7.5
Mariposa,8,15.2
Mendocino,4,20.3
Merced,2,25.9
Modoc,6,20.3
Mono,7,11.2
Monterey,2,15.3
Napa,3,10.1
Nevada,4,12.4
Orange,1,12.7
Placer,1,8.6
Plumas,7,13.8
Riverside,1,16.2
Sacramento,1,16.9
San Benito,1,9.3
San Bernardino,1,18.9
San Diego,1,13.9
San Francisco,1,12.4
San Joaquin,2,17.5
San Luis Obispo,2,14.4
San Mateo,1,8.4
Santa Barbara,2,15.6
Santa Clara,1,8.3
Santa Cruz,2,15.4
Shasta,3,19
Sierra,8,13.8
Siskiyou,6,22.6
Solano,2,12
Sonoma,2,11
Stanislaus,2,19.5
Sutter,3,17.5
Tehama,4,22.5
Trinity,8,19.7
Tulare,2,27.2
Tuolumne,4,14.5
Ventura,2,9.9
Yolo,1,17.5
Yuba,3,21.6
