county2,ruc_code2,total_est_pct3
Georgia,,17.2
Appling,7,22.5
Atkinson,9,26.9
Bacon,7,23.9
Baker,3,28.7
Baldwin,4,26
Banks,8,15.8
Barrow,1,15.6
Bartow,1,13.6
Ben Hill,7,32.5
Berrien,6,25.5
Bibb,3,26.7
Bleckley,6,19.3
Brantley,3,21.6
Brooks,3,25.4
Bryan,2,13.1
Bulloch,4,29.9
Burke,2,25.1
Butts,1,19
Calhoun,8,37.5
Camden,4,13.6
Candler,7,28.1
Carroll,1,20.4
Catoosa,2,13.1
Charlton,6,32.5
Chatham,2,17.8
Chattahoochee,2,21
Chattooga,6,20.4
Cherokee,1,9.4
Clarke,3,38.1
Clay,9,34.3
Clayton,1,23.3
Clinch,6,28.2
Cobb,1,11.4
Coffee,7,22.6
Colquitt,6,24.1
Columbia,2,9.3
Cook,6,24.1
Coweta,1,10.9
Crawford,3,20.6
Crisp,6,32.3
Dade,2,16.2
Dawson,1,12.1
Decatur,6,27.3
DeKalb,1,17.8
Dodge,6,24.8
Dooly,6,33.8
Dougherty,3,29.4
Douglas,1,14.1
Early,6,26.5
Echols,3,25.9
Effingham,2,11.4
Elbert,6,23.7
Emanuel,7,27
Evans,6,27.4
Fannin,8,17.4
Fayette,1,7
Floyd,3,19.6
Forsyth,1,6.3
Franklin,8,21.9
Fulton,1,16
Gilmer,6,16.9
Glascock,9,17.8
Glynn,3,18.2
Gordon,4,18.1
Grady,6,29.3
Greene,6,21.2
Gwinnett,1,12.6
Habersham,6,16.6
Hall,3,16.9
Hancock,7,34.7
Haralson,1,19.2
Harris,2,9.9
Hart,6,18.6
Heard,1,19.1
Henry,1,9.9
Houston,3,15.2
Irwin,7,24.7
Jackson,4,13
Jasper,1,17.4
Jeff Davis,7,21.7
Jefferson,6,27.7
Jenkins,6,35.9
Johnson,7,30.2
Jones,3,14.2
Lamar,1,21
Lanier,3,21.8
Laurens,5,25.5
Lee,3,10.7
Liberty,3,20.3
Lincoln,2,21.4
Long,3,19.1
Lowndes,3,26.5
Lumpkin,6,16.5
McDuffie,2,27.4
McIntosh,3,24
Macon,6,33.5
Madison,3,15.1
Marion,2,25.5
Meriwether,1,22.1
Miller,8,25.1
Mitchell,6,28
Monroe,3,14.2
Montgomery,9,24.3
Morgan,1,14.3
Murray,3,17.8
Muscogee,2,22.2
Newton,1,14.9
Oconee,3,6.8
Oglethorpe,3,16.9
Paulding,1,8.8
Peach,3,22
Pickens,1,12.6
Pierce,6,22.1
Pike,1,11.7
Polk,4,20.8
Pulaski,3,24.4
Putnam,6,18.1
Quitman,9,28.9
Rabun,7,16.1
Randolph,6,26.9
Richmond,2,24.3
Rockdale,1,15.9
Schley,8,19.5
Screven,6,27
Seminole,6,25.8
Spalding,1,22.2
Stephens,7,21.2
Stewart,8,42
Sumter,6,30.8
Talbot,8,25.6
Taliaferro,8,33.5
Tattnall,6,27.5
Taylor,8,27.3
Telfair,7,34.7
Terrell,3,36.5
Thomas,4,21.7
Tift,5,27.1
Toombs,7,25.1
Towns,9,16.7
Treutlen,7,28.7
Troup,4,19.3
Turner,6,28.4
Twiggs,3,26.3
Union,9,14.3
Upson,6,22.7
Walker,2,18.8
Walton,1,12.7
Ware,5,28.4
Warren,8,27.7
Washington,7,26.3
Wayne,6,20.8
Webster,8,23.6
Wheeler,9,39.3
White,6,15.2
Whitfield,3,15.3
Wilcox,8,30.4
Wilkes,6,22.9
Wilkinson,8,20.9
Worth,3,21.7
