county2,ruc_code2,total_est_pct3
Iowa,,12.1
Adair,8,11.9
Adams,9,12.5
Allamakee,6,10.8
Appanoose,7,16.5
Audubon,8,10.3
Benton,2,8.3
Black Hawk,3,14.2
Boone,6,8.8
Bremer,3,7.8
Buchanan,6,10.3
Buena Vista,7,13.7
Butler,8,9.2
Calhoun,9,12.5
Carroll,7,8.7
Cass,6,13.9
Cedar,6,7.3
Cerro Gordo,5,12.3
Cherokee,6,10.3
Chickasaw,6,8.5
Clarke,6,11.8
Clay,7,11.6
Clayton,8,11.2
Clinton,4,13.4
Crawford,7,15.1
Dallas,2,5.3
Davis,9,12.7
Decatur,9,21.7
Delaware,6,10.2
Des Moines,5,14.7
Dickinson,7,8.6
Dubuque,3,12
Emmet,7,13.8
Fayette,6,12.9
Floyd,7,14.5
Franklin,7,11.9
Fremont,8,12.1
Greene,6,11.1
Grundy,3,6.3
Guthrie,2,10.4
Hamilton,6,11
Hancock,7,9.2
Hardin,6,9.6
Harrison,2,9.9
Henry,6,12
Howard,6,11
Humboldt,7,10.8
Ida,8,10.6
Iowa,6,6.9
Jackson,6,12.9
Jasper,6,9.3
Jefferson,7,15.3
Johnson,3,18.3
Jones,2,11.1
Keokuk,8,12.1
Kossuth,7,11.6
Lee,5,15.9
Linn,2,11
Louisa,8,10.8
Lucas,6,14.7
Lyon,8,7.4
Madison,2,8.2
Mahaska,7,14.4
Marion,6,9.2
Marshall,4,11.3
Mills,2,10.3
Mitchell,7,9.3
Monona,6,13.2
Monroe,7,12.1
Montgomery,6,13.4
Muscatine,4,11.5
O'Brien,7,9.2
Osceola,7,9.6
Page,6,15.7
Palo Alto,7,11.6
Plymouth,3,8.3
Pocahontas,9,13.1
Polk,2,11.9
Pottawattamie,2,13.5
Poweshiek,7,10.9
Ringgold,9,14.1
Sac,9,10.9
Scott,2,12.4
Shelby,6,9.2
Sioux,7,7.6
Story,3,18.6
Tama,6,11.2
Taylor,9,14.7
Union,6,14.3
Van Buren,9,15.8
Wapello,5,16
Warren,2,7.8
Washington,3,10.9
Wayne,9,16.4
Webster,5,14.6
Winnebago,7,10.8
Winneshiek,7,9.5
Woodbury,3,14
Worth,9,10.9
Wright,7,12.6
