county2,ruc_code2,total_est_pct3
Louisiana,,19.5
Acadia,2,23.7
Allen,6,20.4
Ascension,2,10.7
Assumption,6,16.8
Avoyelles,6,25.3
Beauregard,6,19.5
Bienville,6,25.4
Bossier,2,14.5
Caddo,2,22.2
Calcasieu,3,17.5
Caldwell,8,22.9
Cameron,3,12.7
Catahoula,9,27.2
Claiborne,6,30.9
Concordia,7,29.5
De Soto,2,24.9
East Baton Rouge,2,18.5
East Carroll,7,43.5
East Feliciana,2,21.8
Evangeline,6,25.7
Franklin,7,25.4
Grant,3,21.3
Iberia,2,20.8
Iberville,2,22.3
Jackson,6,21.1
Jefferson,1,16.3
Jefferson Davis,6,20.3
Lafayette,2,17
Lafourche,3,14.1
La Salle,6,18.5
Lincoln,4,25.5
Livingston,2,13.5
Madison,7,37.6
Morehouse,6,31.1
Natchitoches,6,29.6
Orleans,1,24
Ouachita,3,23
Plaquemines,1,17.3
Pointe Coupee,2,19.3
Rapides,3,21.6
Red River,8,25.7
Richland,6,24.7
Sabine,6,18.1
St. Bernard,1,20.4
St. Charles,1,11.8
St. Helena,2,19.9
St. James,1,18.3
St. John the Baptist,1,20.5
St. Landry,4,27
St. Martin,2,18.3
St. Mary,4,19.7
St. Tammany,1,12.5
Tangipahoa,3,24
Tensas,9,35.1
Terrebonne,3,20.1
Union,3,21.9
Vermilion,2,18.1
Vernon,5,17.5
Washington,6,26.2
Webster,2,25.9
West Baton Rouge,2,15.1
West Carroll,9,22.7
West Feliciana,2,23.9
Winn,6,24
