county2,ruc_code2,total_est_pct3
Michigan,,15.7
Alcona,9,15.8
Alger,7,14.6
Allegan,4,11.2
Alpena,7,16.2
Antrim,9,14.2
Arenac,8,20.1
Baraga,9,17.3
Barry,2,9.3
Bay,3,14.5
Benzie,9,10.5
Berrien,3,17.1
Branch,6,14.9
Calhoun,3,16.1
Cass,2,14.8
Charlevoix,7,11.6
Cheboygan,7,17.6
Chippewa,7,19.7
Clare,6,24.7
Clinton,2,10
Crawford,7,17.2
Delta,5,14.8
Dickinson,7,12.3
Eaton,2,10.9
Emmet,7,11
Genesee,2,20.5
Gladwin,6,19.8
Gogebic,7,18.6
Grand Traverse,5,8.5
Gratiot,6,16.5
Hillsdale,6,16.6
Houghton,5,17.4
Huron,7,11.7
Ingham,2,21
Ionia,4,14.2
Iosco,7,16.1
Iron,7,14.6
Isabella,4,26.1
Jackson,3,16.2
Kalamazoo,2,16
Kalkaska,7,16.5
Kent,2,14.5
Keweenaw,9,13.4
Lake,9,24.8
Lapeer,1,10
Leelanau,9,7.9
Lenawee,4,14.3
Livingston,1,6.5
Luce,7,19.6
Mackinac,7,16.1
Macomb,1,11.7
Manistee,7,15
Marquette,5,15
Mason,7,16.8
Mecosta,6,21.3
Menominee,7,16.9
Midland,3,11.5
Missaukee,9,17.5
Monroe,3,10.6
Montcalm,2,17.9
Montmorency,9,18.2
Muskegon,3,16.1
Newaygo,6,16.3
Oakland,1,9.3
Oceana,6,17.2
Ogemaw,9,19.4
Ontonagon,9,14.6
Osceola,9,18.7
Oscoda,9,20.5
Otsego,7,12.1
Ottawa,2,8.6
Presque Isle,7,13.6
Roscommon,7,19.2
Saginaw,3,18.6
St. Clair,1,12.8
St. Joseph,4,14.7
Sanilac,6,16.7
Schoolcraft,7,15.9
Shiawassee,4,12.4
Tuscola,6,15.5
Van Buren,2,15.7
Washtenaw,2,14.2
Wayne,1,24.8
Wexford,7,14.8
