county2,ruc_code2,total_est_pct3
New Mexico,,19.8
Bernalillo,2,19
Catron,9,23.4
Chaves,5,21.1
Cibola,6,29.2
Colfax,7,19.7
Curry,5,21.7
De Baca,9,20.2
Dona Ana,3,25.7
Eddy,5,12.3
Grant,7,20.5
Guadalupe,7,23.9
Harding,9,14.3
Hidalgo,9,25.2
Lea,5,14.3
Lincoln,7,17.8
Los Alamos,6,4
Luna,6,30.9
McKinley,5,34.1
Mora,9,23.9
Otero,4,23
Quay,7,23
Rio Arriba,4,24.2
Roosevelt,7,20.4
Sandoval,2,11.2
San Juan,3,18.8
San Miguel,6,28.7
Santa Fe,3,13.1
Sierra,6,28.7
Socorro,6,23.5
Taos,7,19.9
Torrance,2,26.2
Union,9,17.1
Valencia,2,19.8
