county2,ruc_code2,total_est_pct3
Washington,,12.2
Adams,6,16.5
Asotin,3,15.7
Benton,2,14.2
Chelan,3,12.7
Clallam,5,15.6
Clark,1,10.6
Columbia,3,15.2
Cowlitz,3,15.7
Douglas,3,13.5
Ferry,9,20.4
Franklin,2,15.6
Garfield,8,15.2
Grant,5,16.1
Grays Harbor,4,16
Island,4,8.4
Jefferson,6,11.9
King,1,9.8
Kitsap,2,9.9
Kittitas,4,20
Klickitat,6,17.2
Lewis,4,15.3
Lincoln,8,14
Mason,4,16.9
Okanogan,6,20.5
Pacific,7,18.8
Pend Oreille,2,19.6
Pierce,1,12.4
San Juan,9,11.5
Skagit,3,14.9
Skamania,1,14.5
Snohomish,1,9.3
Spokane,2,15.5
Stevens,2,19.7
Thurston,2,12.2
Wahkiakum,8,12.6
Walla Walla,3,16.5
Whatcom,3,14.4
Whitman,4,20.8
Yakima,3,19.1
